
10:17:32 Aguarde ... Processando no servidor.

10:18:22 Recalculando seletividade dos índices GST...

10:18:23 Recalculando seletividade do índice PK_TAB_PROGRAMACAO_GRUPO                                                                     

10:18:23 Recalculando seletividade do índice FK_TAB_PROGRAMACAO_GRUPO                                                                     

10:18:23 Recalculando seletividade do índice PK_TAB_LOG_ESOCIAL                                                                           

10:18:23 Recalculando seletividade do índice PK_TAB_TELA_ACESSO                                                                           

10:18:23 Recalculando seletividade do índice PK_TAB_RELATORIO_PERFIL                                                                      

10:18:23 Recalculando seletividade do índice PK_TAB_RELATORIO_CAMPO                                                                       

10:18:23 Recalculando seletividade do índice FK_TAB_RELATORIO_CAMPO_R                                                                     

10:18:23 Recalculando seletividade do índice PK_TAB_RELATORIO                                                                             

10:18:23 Recalculando seletividade do índice PK_TAB_PAINEL_USUARIO                                                                        

10:18:23 Recalculando seletividade do índice PK_TAB_PAINEL_REL_LINK                                                                       

10:18:23 Recalculando seletividade do índice FK_TAB_PAINEL_REL_L_C                                                                        

10:18:23 Recalculando seletividade do índice FK_TAB_PAINEL_REL_L_C_L                                                                      

10:18:23 Recalculando seletividade do índice FK_TAB_PAINEL_REL_L_R                                                                        

10:18:23 Recalculando seletividade do índice FK_TAB_PAINEL_REL_L_R_L                                                                      

10:18:23 Recalculando seletividade do índice PK_TAB_PAINEL_REL_FILTRO                                                                     

10:18:23 Recalculando seletividade do índice FK_TAB_PAINEL_REL_F_C                                                                        

10:18:23 Recalculando seletividade do índice FK_TAB_PAINEL_REL_F_R                                                                        

10:18:23 Recalculando seletividade do índice PK_TAB_PAINEL_RELATORIO                                                                      

10:18:23 Recalculando seletividade do índice FK_TAB_PAINEL_RELATORIO_A                                                                    

10:18:23 Recalculando seletividade do índice FK_TAB_PAINEL_RELATORIO_R                                                                    

10:18:23 Recalculando seletividade do índice PK_TAB_PAINEL_CATEGORIA                                                                      

10:18:23 Recalculando seletividade do índice PK_TAB_PAINEL_ABA                                                                            

10:18:23 Recalculando seletividade do índice FK_TAB_PAINEL_ABA_P                                                                          

10:18:23 Recalculando seletividade do índice PK_TAB_FORNECEDOR_NOTA_FRET                                                                  

